instrument,instrument_annual_return,instrument_annual_volatility,instrument_sharpe,portfolio_annual_return,portfolio_annual_volatility,portfolio_sharpe
000001.SZ,0.04,0.31,0.29,0.75,0.31,1.96
000002.SZ,-0.01,0.38,0.16,0.96,0.38,1.96
000004.SZ,-0.06,0.54,0.16,1.34,0.49,1.98
000006.SZ,-0.07,0.42,0.04,1.09,0.42,1.97
000008.SZ,-0.14,0.37,-0.24,0.83,0.37,1.83
000009.SZ,0.01,0.48,0.27,1.25,0.46,2
000010.SZ,-0.18,0.49,-0.16,1.32,0.48,1.98
000011.SZ,-0.02,0.48,0.2,1.26,0.46,1.99
000012.SZ,-0.04,0.41,0.11,1.05,0.41,1.98
000014.SZ,-0.09,0.48,0.05,1.32,0.48,1.98
000017.SZ,-0.09,0.52,0.08,1.27,0.47,1.98
000019.SZ,-0.02,0.46,0.19,1.23,0.45,1.99
000020.SZ,-0.04,0.52,0.19,1.29,0.47,1.98
000021.SZ,0.04,0.48,0.32,1.22,0.45,2
000025.SZ,-0.08,0.5,0.08,1.3,0.48,1.98
000026.SZ,-0.03,0.42,0.15,1.1,0.42,1.98
000027.SZ,-0.03,0.35,0.08,0.82,0.35,1.9
000028.SZ,-0.07,0.33,-0.05,0.71,0.33,1.81
000029.SZ,0.01,0.38,0.2,0.97,0.38,1.98
000030.SZ,-0.04,0.39,0.1,0.98,0.39,1.95
000031.SZ,-0.19,0.38,-0.36,0.86,0.38,1.83
000032.SZ,0.01,0.51,0.27,1.27,0.47,1.99
000035.SZ,-0.06,0.38,0.01,0.93,0.38,1.92
000036.SZ,-0.02,0.37,0.12,0.92,0.37,1.94
000037.SZ,-0.03,0.5,0.19,1.3,0.48,1.98
000039.SZ,-0.03,0.36,0.08,0.84,0.35,1.9
000042.SZ,-0.14,0.39,-0.18,0.95,0.39,1.89
000045.SZ,-0.05,0.47,0.13,1.29,0.47,1.98
000048.SZ,-0.04,0.39,0.1,0.98,0.39,1.94
000049.SZ,-0.01,0.49,0.22,1.31,0.48,1.98
000050.SZ,-0.11,0.42,-0.07,1.09,0.42,1.95
000055.SZ,-0.05,0.4,0.08,1.03,0.4,1.96
000056.SZ,-0.18,0.51,-0.13,1.35,0.49,1.98
000058.SZ,-0.08,0.5,0.08,1.28,0.47,1.98
000059.SZ,-0.06,0.39,0.02,0.95,0.38,1.93
000060.SZ,-0.08,0.39,-0.01,0.93,0.39,1.9
000061.SZ,-0.09,0.36,-0.08,0.83,0.36,1.85
000062.SZ,0,0.46,0.24,1.26,0.46,1.99
000063.SZ,0.06,0.44,0.35,1.18,0.44,2.01
000065.SZ,-0.04,0.44,0.13,1.16,0.44,1.97
000068.SZ,-0.15,0.5,-0.08,1.35,0.49,1.98
000069.SZ,-0.12,0.36,-0.17,0.8,0.36,1.84
000070.SZ,-0.09,0.52,0.08,1.35,0.49,1.98
000078.SZ,-0.12,0.4,-0.12,1,0.4,1.92
000088.SZ,-0.06,0.37,0.02,0.9,0.37,1.9
000089.SZ,-0.02,0.29,0.07,0.59,0.29,1.75
000090.SZ,-0.05,0.38,0.05,0.93,0.38,1.93
000096.SZ,-0.07,0.36,-0.02,0.86,0.36,1.9
