,returns,portfolio_value,return_0,cum_return,close,instrument,date
2015-8-20,-4.55E-05,999954.475,-4.55E-05,-4.55E-05,999954.475,fanyifan_strategy,2015-8-20
2015-8-21,-0.000773475,999181.035,-0.000773475,-0.000818965,999181.035,fanyifan_strategy,2015-8-21
2015-8-24,-0.007645006,991542.29,-0.007645006,-0.00845771,991542.29,fanyifan_strategy,2015-8-24
2015-8-25,0.006090981,997581.755,0.006090981,-0.002418245,997581.755,fanyifan_strategy,2015-8-25
2015-8-26,0.002977515,1000552.07,0.002977515,0.00055207,1000552.07,fanyifan_strategy,2015-8-26
2015-8-27,0.000726979,1001279.45,0.000726979,0.00127945,1001279.45,fanyifan_strategy,2015-8-27
2015-8-28,0.006820813,1008108.99,0.006820813,0.00810899,1008108.99,fanyifan_strategy,2015-8-28
2015-8-31,-0.004004974,1004071.54,-0.004004974,0.00407154,1004071.54,fanyifan_strategy,2015-8-31
2015-9-1,-0.004782149,999269.92,-0.004782149,-0.00073008,999269.92,fanyifan_strategy,2015-9-1
2015-9-2,0.003193266,1002460.855,0.003193266,0.002460855,1002460.855,fanyifan_strategy,2015-9-2
2015-9-7,0.020716016,1023227.85,0.020716016,0.02322785,1023227.85,fanyifan_strategy,2015-9-7
2015-9-8,0.005297002,1028647.89,0.005297002,0.02864789,1028647.89,fanyifan_strategy,2015-9-8
2015-9-9,-0.011112632,1017216.905,-0.011112632,0.017216905,1017216.905,fanyifan_strategy,2015-9-9
2015-9-10,0.001518767,1018761.82,0.001518767,0.01876182,1018761.82,fanyifan_strategy,2015-9-10
2015-9-11,0.003250318,1022073.12,0.003250318,0.02207312,1022073.12,fanyifan_strategy,2015-9-11
2015-9-14,-0.02119435,1000410.945,-0.02119435,0.000410945,1000410.945,fanyifan_strategy,2015-9-14
2015-9-15,-0.006369058,994039.27,-0.006369058,-0.00596073,994039.27,fanyifan_strategy,2015-9-15
2015-9-16,-0.00473005,989337.415,-0.00473005,-0.010662585,989337.415,fanyifan_strategy,2015-9-16
2015-9-17,0.015553516,1004725.09,0.015553516,0.00472509,1004725.09,fanyifan_strategy,2015-9-17
2015-9-18,0.001281734,1006012.88,0.001281734,0.00601288,1006012.88,fanyifan_strategy,2015-9-18
2015-9-21,-0.020618195,985270.71,-0.020618195,-0.01472929,985270.71,fanyifan_strategy,2015-9-21
2015-9-22,0.007850883,993005.955,0.007850883,-0.006994045,993005.955,fanyifan_strategy,2015-9-22
2015-9-23,0.001085114,994083.48,0.001085114,-0.00591652,994083.48,fanyifan_strategy,2015-9-23
2015-9-24,0.013242811,1007247.94,0.013242811,0.00724794,1007247.94,fanyifan_strategy,2015-9-24
2015-9-25,0.005823442,1013113.59,0.005823442,0.01311359,1013113.59,fanyifan_strategy,2015-9-25
2015-9-28,0.019337042,1032704.21,0.019337042,0.03270421,1032704.21,fanyifan_strategy,2015-9-28
2015-9-29,-0.008916803,1023495.79,-0.008916803,0.02349579,1023495.79,fanyifan_strategy,2015-9-29
2015-9-30,-0.002711721,1020720.355,-0.002711721,0.020720355,1020720.355,fanyifan_strategy,2015-9-30
2015-10-8,0.027064474,1048345.615,0.027064474,0.048345615,1048345.615,fanyifan_strategy,2015-10-8
2015-10-9,0.004966521,1053552.245,0.004966521,0.053552245,1053552.245,fanyifan_strategy,2015-10-9
2015-10-12,0.006391895,1060286.44,0.006391895,0.06028644,1060286.44,fanyifan_strategy,2015-10-12
2015-10-13,0.015441973,1076659.355,0.015441973,0.076659355,1076659.355,fanyifan_strategy,2015-10-13
2015-10-14,0.016565996,1094495.29,0.016565996,0.09449529,1094495.29,fanyifan_strategy,2015-10-14
2015-10-15,0.001002531,1095592.555,0.001002531,0.095592555,1095592.555,fanyifan_strategy,2015-10-15
2015-10-16,0.026746649,1124895.985,0.026746649,0.124895985,1124895.985,fanyifan_strategy,2015-10-16
2015-10-19,0.009964757,1136105.3,0.009964757,0.1361053,1136105.3,fanyifan_strategy,2015-10-19
2015-10-20,0.022213694,1161342.395,0.022213694,0.161342395,1161342.395,fanyifan_strategy,2015-10-20
2015-10-21,-0.005446637,1155016.985,-0.005446637,0.155016985,1155016.985,fanyifan_strategy,2015-10-21
2015-10-22,0.025277425,1184212.84,0.025277425,0.18421284,1184212.84,fanyifan_strategy,2015-10-22
2015-10-23,0.009465625,1195422.155,0.009465625,0.195422155,1195422.155,fanyifan_strategy,2015-10-23
2015-10-26,0.032756043,1234579.455,0.032756043,0.234579455,1234579.455,fanyifan_strategy,2015-10-26
2015-10-27,0.038252236,1281804.88,0.038252236,0.28180488,1281804.88,fanyifan_strategy,2015-10-27
2015-10-28,0.016667431,1303169.275,0.016667431,0.303169275,1303169.275,fanyifan_strategy,2015-10-28
2015-10-29,0.042066845,1357989.495,0.042066845,0.357989495,1357989.495,fanyifan_strategy,2015-10-29
2015-10-30,0.027931693,1395920.44,0.027931693,0.39592044,1395920.44,fanyifan_strategy,2015-10-30
2015-11-2,0.127124523,1573376.16,0.127124523,0.57337616,1573376.16,fanyifan_strategy,2015-11-2
2015-11-3,0.09856519,1728456.28,0.09856519,0.72845628,1728456.28,fanyifan_strategy,2015-11-3
